"Velocity_field,_x_component","Velocity_field,_y_component","Pressure","Points:0","Points:1","Points:2"
0.29879,0.055256,0.0053618,10,1.9411,0
0.16337,0.030519,0.028559,10,1.9704,0
0.27049,-0.00025516,0.008878,9.9462,1.9434,0
0.025737,-0.02388,0.011204,10,1.0602,0
0.013073,-0.0032589,-0.0021754,9.9402,1.0592,0
0.01332,-0.0098839,0.015544,10,1.03,0
0.4962,0.057872,-0.00083894,10,1.89,0
0.44466,-0.0043923,0.005679,9.9327,1.902,0
0.065499,-0.043267,0.00039289,10,1.1105,0
0.063297,-0.0027953,-0.0063103,9.9255,1.1134,0
0.71667,0.042105,0.0060095,10,1.8081,0
0.65402,0.0030361,0.0099967,9.9237,1.8326,0
0.17672,-0.0081177,-0.011156,9.9225,1.183,0
0.24865,-0.066178,-0.0055925,10,1.2186,0
0.51137,-0.051429,-0.003813,10,1.3267,0
0.41619,-0.0054291,-0.013592,9.9096,1.2858,0
0.86035,0.028614,0.0098932,10,1.7048,0
0.83445,0.018353,0.01613,9.9085,1.726,0
0.85823,0.01953,0.0069131,9.9013,1.584,0
0.8239,0.00049322,0.0055618,10,1.5237,0
0.70207,0.0046828,-0.007638,9.8996,1.4251,0
0,0,0.1791,9,0.98111,0
0,0,-0.28737,9,1,0
0.0077908,0.12815,0.16896,8.9944,0.98111,0
0,0,-0.53101,9.0189,1,0
0.030596,0.0069988,-0.51969,9.0189,1.0054,0
0,0,0.20014,7.7312,1,0
0.023167,0.0012868,0.19829,7.7312,0.99461,0
0,0,0.13494,7.75,1,0
0,0,0.097483,7.75,1.0189,0
0.001171,0.0024403,0.099496,7.7553,1.0189,0
0,0,-0.35666,6.7688,1,0
0,0,-0.10798,6.75,1,0
0.032205,-0.0069311,-0.34473,6.7688,0.99475,0
0,0,0.39356,6.75,1.0189,0
0.0079492,-0.13068,0.38223,6.7446,1.0189,0
0,0,0.41939,5.4812,1,0
0,0,0.35639,5.5,1,0
0.023435,-0.0013032,0.41762,5.4812,1.0055,0
0,0,0.31769,5.5,0.98111,0
0.0011884,-0.0024962,0.31971,5.5053,0.98113,0
0,0,0.60663,4.5,0.98111,0
0,0,0.12567,4.5,1,0
0.0080587,0.13287,0.5961,4.4944,0.98111,0
0,0,-0.134,4.5188,1,0
0.031819,0.0072217,-0.12256,4.5188,1.0054,0
0,0,0.64086,3.2312,1,0
0.023276,0.0012029,0.63911,3.2312,0.99473,0
0,0,0.57473,3.25,1,0
0,0,0.53761,3.25,1.0189,0
0.0011916,0.0024817,0.53968,3.2553,1.0189,0
0,0,0.84553,2.25,1.0189,0
0.0075518,-0.1226,0.83504,2.2446,1.0189,0
0,0,0.36718,2.25,1,0
0,0,0.1115,2.2688,1,0
0.034802,-0.0071529,0.12302,2.2688,0.99462,0
0,0,0.676,1,0.98111,0
0.0021367,-0.0011621,0.67943,1.0055,0.98113,0
0,0,0.73712,1,1,0
0,0,0.85603,0.98111,1,0
0.052966,-0.0021542,0.85346,0.98111,1.0057,0
0.13577,0,0.99909,0,1.9407,0
0.12762,-0.00025027,0.99842,0.056962,1.944,0
0.068542,0,0.99977,0,1.9707,0
0.27169,0,0.99869,0,1.8757,0
0.22543,-0.00053869,0.99813,0.067248,1.898,0
0.39504,0,0.99758,0,1.8107,0
0.37661,-0.001615,0.99763,0.08151,1.8198,0
0.5838,0,0.99521,0,1.6884,0
0.53854,-0.0020141,0.99677,0.094755,1.7191,0
0.68764,-0.002392,0.995,0.10385,1.5852,0
0.72714,0,0.99201,0,1.5377,0
0.76967,0.0012019,0.99356,0.10147,1.4203,0
0.7773,0,0.99051,0,1.3783,0
0.70776,-0.0009085,0.99169,0.093209,1.2958,0
0.62552,0,0.99117,0,1.2174,0
0.37589,0,0.99405,0,1.109,0
0.55597,-0.0014127,0.99309,0.08054,1.1844,0
0.21556,0,0.99852,0,1.0583,0
0.38146,0.00096236,0.99318,0.078165,1.1128,0
0.11249,0,0.9995,0,1.0293,0
0.20209,0.00035933,0.9946,0.062957,1.055,0
0.28251,-0.007074,0.019243,9.9042,1.9419,0
0.1404,-0.0064323,0.0090047,9.9297,1.9704,0
0.1594,-0.0016782,0.030369,9.8594,1.9694,0
-0.001602,0.00013181,-0.0043109,9.9293,1.03,0
0.017763,0.00088771,-0.0079923,9.89,1.0665,0
0.0017308,0.00072229,-0.011217,9.8586,1.0308,0
0.28772,-0.0016482,0.033062,9.8369,1.9411,0
0.16429,0.00018835,0.04177,9.7891,1.9684,0
0.45153,-0.0027283,0.02734,9.8586,1.8988,0
0.30797,-0.00053801,0.047845,9.7653,1.9367,0
0.16931,-7.4121e-05,0.059492,9.7188,1.9676,0
0.016294,-2.5848e-07,-0.015997,9.8263,1.0647,0
0.0012607,-0.00047234,-0.020574,9.7878,1.0315,0
0.049219,0.00051174,-0.012557,9.8566,1.1011,0
0.01692,-0.0016689,-0.024301,9.756,1.0676,0
-0.00014665,-0.00047783,-0.029083,9.7171,1.032,0
0.013541,-0.0018203,-0.033618,9.6846,1.0672,0
-0.0022464,-0.00049094,-0.038828,9.6464,1.0322,0
0.46858,-0.00212,0.038722,9.8049,1.8935,0
0.6122,0.00037604,0.027011,9.8538,1.8457,0
0.30809,0.0017681,0.065475,9.6929,1.9359,0
0.16997,0.000731,0.076642,9.6485,1.9669,0
0.48979,0.0046682,0.055401,9.7283,1.8848,0
0.3025,0.002915,0.083598,9.6193,1.9357,0
0.16924,0.00096116,0.095412,9.5781,1.9664,0
0.31517,0.0064412,0.10266,9.5454,1.9297,0
0.16542,0.0017678,0.11406,9.5078,1.9659,0
0.0088194,-0.0014621,-0.044305,9.6093,1.0638,0
-0.0041857,-0.00063716,-0.049207,9.5757,1.0319,0
0.12832,-0.0012296,-0.014858,9.8502,1.1573,0
