"Velocity_field,_x_component","Velocity_field,_y_component","Pressure","Points:0","Points:1","Points:2"
0.061847,-0.0020457,-0.020053,9.7947,1.1134,0
0.063903,-0.0043537,-0.028614,9.72,1.117,0
0.059636,-0.0025369,-0.038791,9.6466,1.1152,0
0.63166,0.0067539,0.044348,9.7658,1.8317,0
0.76854,0.013023,0.028095,9.834,1.7624,0
0.47759,0.0090943,0.074048,9.6512,1.8854,0
0.63028,0.017485,0.061404,9.6897,1.8254,0
0.47473,0.013028,0.092016,9.5784,1.8815,0
0.30391,0.0073764,0.12067,9.4785,1.9294,0
0.16023,0.0022696,0.13282,9.4375,1.9654,0
0.44021,0.016424,0.10918,9.5161,1.8882,0
0.056404,-0.0026365,-0.049956,9.5695,1.1128,0
0.0076565,-0.0020506,-0.05624,9.5325,1.0656,0
-0.006679,-0.00062553,-0.061186,9.5049,1.031,0
0.0045677,0.0031679,-0.15957,9.1758,1.0386,0
-0.007083,0.00060813,-0.16993,9.1614,1.0198,0
-0.0090687,0.00022347,-0.14708,9.203,1.0221,0
0.011674,0.0050961,-0.1839,9.1374,1.0347,0
-0.0033513,0.00086769,-0.1976,9.125,1.0176,0
0.037173,0.011712,-0.24558,9.0751,1.028,0
0.010291,0.0022656,-0.27501,9.065,1.0138,0
0.00039098,0.0018197,-0.22694,9.093,1.0154,0
0.062548,0.020552,-0.28513,9.0501,1.025,0
0.02094,0.007377,-0.21192,9.1039,1.0309,0
0.27595,0.0088421,0.13949,9.4081,1.9329,0
0.15204,0.0029698,0.15161,9.3672,1.965,0
0.29674,-0.0029527,-0.01691,9.8309,1.2364,0
0.15474,-0.004994,-0.024073,9.7591,1.1728,0
0.1777,-0.0032764,-0.033543,9.6734,1.1831,0
0.14583,-0.00088483,-0.043966,9.6054,1.1659,0
0.55029,0.0013323,-0.016001,9.8027,1.3424,0
0.86615,0.036663,0.022729,9.8079,1.6461,0
0.79285,0.02889,-0.0019241,9.7917,1.4783,0
0.78729,0.032582,0.044854,9.7242,1.7303,0
0.60182,0.024723,0.08183,9.6033,1.8297,0
0.73539,0.040579,0.064685,9.639,1.7521,0
0.59819,0.037699,0.09871,9.5349,1.8201,0
0.42143,0.019813,0.126,9.4517,1.8877,0
0.54785,0.03737,0.1146,9.4789,1.8349,0
0.0022989,-0.0011521,-0.069849,9.4588,1.0611,0
-0.0087272,-0.00046841,-0.07496,9.4342,1.0298,0
0.0025748,0.0020315,-0.13809,9.2191,1.0445,0
-0.010161,-6.6125e-05,-0.12631,9.2504,1.0243,0
-0.0013265,-0.00058783,-0.085109,9.3869,1.0553,0
-0.010052,-0.00037458,-0.090556,9.366,1.0281,0
-0.0017323,0.00034546,-0.10136,9.3243,1.0517,0
-0.010454,-0.00018579,-0.10784,9.3044,1.0262,0
-0.00026236,0.0010524,-0.1189,9.2677,1.0481,0
0.16154,0.0019241,-0.05438,9.534,1.1699,0
0.058964,-0.0018396,-0.06218,9.4946,1.113,0
0.017883,0.0048253,-0.30495,9.0404,1.0126,0
0.10953,0.042207,-0.32027,9.0295,1.0238,0
0.17024,0.078407,-0.28503,9.0375,1.0374,0
0.24992,0.14635,-0.30139,9.0193,1.0357,0
0.050942,0.013182,-0.14674,9.1921,1.0685,0
0.061874,0.018917,-0.16813,9.1527,1.0622,0
0.065655,0.021858,-0.19356,9.1161,1.0516,0
0.1252,0.049743,-0.25048,9.0605,1.0428,0
0.092589,0.033595,-0.22231,9.0844,1.0468,0
0.25502,0.011157,0.15848,9.3348,1.933,0
0.14045,0.0036532,0.16939,9.297,1.9648,0
0.39464,0.025205,0.14362,9.3837,1.888,0
0.40997,0.001726,-0.026024,9.7069,1.2799,0
0.34645,0.012602,-0.03883,9.6036,1.2486,0
0.73575,0.039143,-0.01091,9.6849,1.4183,0
0.8686,0.061605,0.026832,9.6952,1.5843,0
0.81049,0.064294,0.054969,9.6283,1.6749,0
0.72324,0.058548,0.082022,9.5625,1.7442,0
0.67049,0.066305,0.10313,9.4879,1.7638,0
0.54731,0.051805,0.13014,9.4155,1.8207,0
0.04462,0.0011422,-0.077093,9.4187,1.1002,0
0.047814,0.009676,-0.12696,9.2375,1.077,0
0.045562,0.0043032,-0.091943,9.3522,1.0943,0
0.046137,0.0073209,-0.10848,9.2927,1.0863,0
0.39137,0.031085,-0.049107,9.5127,1.2545,0
0.17575,0.0097097,-0.067056,9.4542,1.1684,0
0.232,0.013334,0.17628,9.2604,1.9323,0
0.12621,0.0042078,0.1857,9.2267,1.9647,0
0.20009,0.11751,-0.42558,9.0106,1.0206,0
0.07676,0.027022,-0.46446,9.0189,1.0119,0
0.27901,0.15244,-0.24522,9.0422,1.0586,0
0.34572,0.28946,-0.30004,9.0014,1.0331,0
0.29935,0.3142,-0.34348,8.9945,1.0191,0
0.34564,0.22856,-0.2573,9.0229,1.0547,0
0.38375,0.30376,-0.26179,9.0082,1.048,0
-0.00089424,-0.00089728,0.19087,7.8184,1.935,0
4.8177e-05,4.1741e-05,0.19088,7.7809,1.9691,0
-0.00042089,-0.00065261,0.19125,7.7812,1.9049,0
-0.00066572,-0.00040089,0.19054,7.8449,1.9686,0
0.16282,0.042288,-0.1308,9.2094,1.1122,0
0.15471,0.047984,-0.15263,9.1641,1.0952,0
0.16458,0.058726,-0.17304,9.1305,1.0846,0
0.19257,0.079433,-0.19677,9.095,1.0745,0
0.23248,0.11016,-0.2201,9.0664,1.0666,0
0.42664,0.26682,-0.20375,9.0442,1.089,0
0.36535,0.030556,0.16262,9.3085,1.8865,0
0.48755,0.053936,0.1483,9.3477,1.8339,0
0.65743,0.051899,-0.025639,9.5843,1.3651,0
0.62258,0.084706,-0.037571,9.483,1.3323,0
0.83539,0.091318,0.012635,9.5796,1.4913,0
0.85451,0.087348,0.043261,9.5848,1.596,0
0.79087,0.092612,0.074985,9.5189,1.6694,0
0.69376,0.09777,0.11189,9.4292,1.726,0
0.60725,0.095749,0.1374,9.3526,1.7589,0
0.16448,0.018646,-0.082832,9.3789,1.1539,0
0.15936,0.034283,-0.11329,9.2618,1.1264,0
0.16326,0.026648,-0.09696,9.318,1.1414,0
0.40386,0.054524,-0.065203,9.4159,1.2406,0
0.6978,0.12993,-0.03209,9.4164,1.3496,0
0.21169,0.016331,0.19167,9.1886,1.9292,0
0.10961,0.0049083,0.19999,9.1564,1.9646,0
0.34144,0.038391,0.17843,9.2388,1.8803,0
0.18226,0.017846,0.20449,9.1191,1.9289,0
0.091586,0.0051374,0.21154,9.0862,1.9645,0
0.47163,0.3498,-0.21196,9.0204,1.0788,0
0.23006,0.48373,-0.17134,8.9822,1.007,0
0.35023,0.55623,-0.20406,8.9777,1.0213,0
0.42011,0.49845,-0.24055,8.9846,1.0352,0
0.46078,0.45645,-0.23281,8.9926,1.0502,0
0.47858,0.41281,-0.22082,9.004,1.0655,0
0.025626,0.26546,0.11924,8.9877,0.98111,0
-0.00067653,-0.0027767,0.19138,7.7817,1.8393,0
-0.0021497,-0.002794,0.19104,7.8253,1.8957,0
-0.0025627,-0.0016796,0.19071,7.8601,1.935,0
-0.0026999,-0.00068627,0.19032,7.9105,1.9677,0
0.35719,0.10823,-0.1139,9.2207,1.1708,0
0.33571,0.11587,-0.13054,9.1763,1.1461,0
0.33853,0.13737,-0.14826,9.1382,1.1291,0
0.35102,0.16616,-0.17141,9.0998,1.1113,0
0.3919,0.21333,-0.18605,9.0692,1.1001,0
0.54291,0.36031,-0.1664,9.0459,1.1194,0
0.58262,0.45514,-0.16674,9.0177,1.1079,0
0.47844,0.073799,0.16417,9.2781,1.8153,0
0.81951,0.1368,0.00059759,9.4662,1.4379,0
0.85424,0.12808,0.046464,9.4924,1.5581,0
0.80097,0.13813,0.081428,9.4377,1.6239,0
0.73487,0.14462,0.11172,9.368,1.665,0
0.61778,0.13825,0.14842,9.2785,1.7173,0
0.42483,0.089177,-0.079693,9.3337,1.2285,0
0.40448,0.10704,-0.094118,9.2733,1.2031,0
0.65901,0.15264,-0.047944,9.3484,1.3107,0
0.8285,0.19729,0.0031954,9.365,1.418,0
0.14298,0.016708,0.21487,9.0462,1.9323,0
0.073319,0.0051323,0.22031,9.0159,1.9644,0
0.29531,0.041998,0.19481,9.1595,1.8809,0
0.41625,0.07805,0.18164,9.2005,1.8214,0
0.25042,0.044492,0.20678,9.0889,1.8813,0
0.099802,0.46199,0.01413,8.979,0.9907,0
0.56871,0.51511,-0.17858,8.9975,1.0874,0
0.20514,0.61317,-0.054022,8.9654,0.9984,0
0.31921,0.66657,-0.1087,8.9625,1.014,0
0.42856,0.66031,-0.15615,8.9657,1.0339,0
0.50513,0.61985,-0.17442,8.9731,1.0534,0
0.54869,0.57912,-0.17687,8.9822,1.0711,0
0.05511,0.39337,0.067962,8.9765,0.97323,0
0.013199,0.20826,0.11542,8.9868,0.95956,0
0.11371,0.017256,0.22193,8.9751,1.9306,0
0.05476,0.0051042,0.22598,8.9458,1.9644,0
0.084437,0.016482,0.22576,8.9057,1.9301,0
0.03724,0.0046257,0.22831,8.8756,1.9645,0
-0.0026443,-0.006582,0.19112,7.8156,1.8252,0
-0.00076734,-0.0055981,0.19115,7.7823,1.7727,0
-0.0056893,-0.0077798,0.19097,7.858,1.8489,0
-0.0066184,-0.0026075,0.1906,7.926,1.9345,0
-0.0056879,-0.00082276,0.19053,7.9771,1.9667,0
-0.006796,-0.0053493,0.19079,7.889,1.8913,0
0.055538,0.015561,0.22685,8.8334,1.9289,0
0.02118,0.0040986,0.22826,8.8055,1.9646,0
0.029804,0.013017,0.22572,8.7628,1.9284,0
0.0077158,0.003238,0.22619,8.7354,1.9648,0
0.0078563,0.0096628,0.22275,8.6918,1.9311,0
-0.0027293,0.0024972,0.2226,8.6655,1.965,0
-0.009409,0.0070251,0.2189,8.6194,1.9342,0
-0.01101,0.0019309,0.21815,8.5956,1.9651,0
0.63208,0.5868,-0.13211,8.989,1.111,0
0.5233,0.26939,-0.13631,9.1057,1.1567,0
0.57185,0.19932,-0.086046,9.226,1.2357,0
0.59589,0.24259,-0.095885,9.1767,1.2188,0
0.56046,0.2585,-0.11531,9.1372,1.1861,0
0.56939,0.34592,-0.14651,9.0687,1.1442,0
0.64241,0.47455,-0.13258,9.0286,1.142,0
0.66891,0.57709,-0.11545,8.9965,1.1345,0
0.52589,0.12922,0.17136,9.2069,1.7482,0
0.84773,0.19119,0.060601,9.3759,1.5373,0
0.75039,0.20013,0.1129,9.2921,1.6121,0
0.65748,0.19791,0.1462,9.2158,1.6521,0
0.68566,0.21989,-0.059687,9.2616,1.2901,0
0.81433,0.25773,-0.0097622,9.2831,1.3769,0
0.84363,0.24705,0.044416,9.3031,1.4722,0
0.19609,0.042345,0.21672,9.0091,1.8847,0
0.38579,0.096655,0.19584,9.1216,1.8038,0
0.30084,0.083257,0.20891,9.0483,1.8257,0
0.15739,0.58583,0.018341,8.961,0.98497,0
0.6153,0.64289,-0.12124,8.9725,1.0969,0
0.2793,0.70063,-0.013884,8.9453,1.0011,0
0.39277,0.7251,-0.076707,8.9481,1.0253,0
0.49615,0.7198,-0.10522,8.9509,1.0508,0
0.56298,0.69403,-0.1156,8.9575,1.0728,0
0.1073,0.52093,0.093209,8.9592,0.96544,0
0.041941,0.35315,0.1379,8.9733,0.95027,0
0.010703,0.18898,0.18745,8.9856,0.93499,0
0.1547,0.039993,0.2217,8.9453,1.8861,0
0.12003,0.042795,0.2246,8.8719,1.8774,0
-0.0026617,-0.011675,0.19064,7.8135,1.7533,0
-0.00076295,-0.0086302,0.19038,7.7827,1.7054,0
-0.011976,-0.0028689,0.19098,7.9955,1.935,0
-0.0090295,-0.00093776,0.19107,8.0444,1.9659,0
-0.017618,-0.0031186,0.19172,8.0622,1.934,0
-0.012669,-0.00094459,0.19229,8.1122,1.9652,0
-0.0067188,-0.013901,0.19067,7.8591,1.7889,0
-0.011374,-0.011957,0.19089,7.9067,1.8337,0
-0.013311,-0.0072273,0.19093,7.9517,1.887,0
0.078533,0.036947,0.22472,8.7998,1.8787,0
-0.023448,-0.0029663,0.19307,8.1318,1.9338,0
-0.016005,-0.00085396,0.19408,8.1804,1.9649,0
-0.028839,-0.0025323,0.19508,8.2028,1.9326,0
-0.018753,-0.00065592,0.19657,8.2489,1.9648,0
-0.032237,-0.0017288,0.19771,8.2715,1.9334,0
-0.020565,-0.00040296,0.19972,8.3178,1.9648,0
-0.03404,-0.00072729,0.20106,8.3419,1.9333,0
-0.021225,8.913e-06,0.20364,8.3869,1.9648,0
0.036697,0.025877,0.22284,8.7274,1.8896,0
-0.033221,0.00080459,0.20509,8.412,1.9338,0
-0.020061,0.00053897,0.20821,8.4563,1.9649,0
-0.02078,0.0049901,0.21461,8.5553,1.9333,0
-0.016782,0.0011673,0.21311,8.5259,1.965,0
-0.029252,0.0028931,0.2097,8.4839,1.9322,0
0.009904,0.02176,0.21959,8.6538,1.8854,0
-0.007594,0.017921,0.21628,8.599,1.885,0
0.66149,0.66585,-0.078601,8.9636,1.1259,0
0.67411,0.39264,-0.10504,9.0856,1.1936,0
0.73201,0.30379,-0.058113,9.1878,1.28,0
0.71933,0.3614,-0.074581,9.129,1.241,0
0.71321,0.50522,-0.096887,9.0347,1.1801,0
0.71343,0.59055,-0.081005,8.9968,1.1666,0
0.69814,0.64247,-0.06063,8.9705,1.1556,0
0.53321,0.18018,0.17857,9.1307,1.6984,0
0.79208,0.25395,0.096736,9.2442,1.5443,0
0.67469,0.25261,0.14514,9.158,1.6011,0
0.81882,0.3317,-0.0082223,9.2013,1.3523,0
0.83223,0.3174,0.048374,9.2126,1.4382,0
0.25964,0.087739,0.21565,8.9814,1.8182,0
0.40291,0.15119,0.20142,9.0406,1.7406,0
0.21347,0.65636,0.056475,8.9405,0.98089,0
0.61283,0.7091,-0.069623,8.9454,1.0989,0
0.32099,0.72086,0.050657,8.919,0.99861,0
0.38426,0.74549,0.00076157,8.926,1.0192,0
0.46537,0.74902,-0.044908,8.9329,1.043,0
0.5432,0.746,-0.042287,8.9279,1.0701,0
0.17033,0.60434,0.12046,8.9356,0.95886,0
0.085619,0.47008,0.15494,8.9548,0.9411,0
0.034402,0.31822,0.1924,8.9707,0.92562,0
0.0098837,0.16984,0.22911,8.984,0.90699,0
0.20079,0.081927,0.22088,8.9083,1.8215,0
0.15302,0.077496,0.22262,8.8392,1.8192,0
-0.002435,-0.016464,0.18973,7.8125,1.6866,0
-0.00065715,-0.011386,0.18905,7.7827,1.6376,0
-0.0067,-0.021304,0.18998,7.858,1.7175,0
-0.020874,-0.0071794,0.19152,8.0235,1.8929,0
-0.030951,-0.0083403,0.19249,8.0972,1.881,0
-0.01287,-0.022024,0.19034,7.9095,1.7547,0
-0.020005,-0.015422,0.19108,7.9715,1.8236,0
0.10218,0.067417,0.22169,8.7618,1.8185,0
-0.038331,-0.0070978,0.19426,8.1713,1.8816,0
-0.043101,-0.0050054,0.19629,8.2371,1.8812,0
-0.045168,-0.0018619,0.19958,8.3183,1.8824,0
-0.043206,0.0020068,0.20315,8.3914,1.885,0
0.058141,0.054281,0.21908,8.6878,1.8203,0
-0.037596,0.0063675,0.20736,8.4562,1.8845,0
-0.025415,0.01197,0.21161,8.5262,1.8859,0
0.026667,0.044282,0.21587,8.6252,1.8213,0
-0.00017499,0.032303,0.21277,8.5662,1.8294,0
0.64596,0.70352,-0.022006,8.9287,1.1306,0
0.68472,0.67314,-0.026566,8.9436,1.1569,0
0.75701,0.51869,-0.056951,9.0402,1.2209,0
0.78229,0.47215,-0.043406,9.0742,1.2564,0
0.80405,0.41569,-0.019922,9.1198,1.3056,0
0.75032,0.58647,-0.03469,8.9967,1.2112,0
0.72309,0.63424,-0.022074,8.9627,1.1912,0
0.55963,0.23645,0.17709,9.0711,1.6391,0
0.74531,0.3348,0.11773,9.1169,1.5102,0
0.81197,0.39556,0.051268,9.121,1.3996,0
0.33294,0.15823,0.21111,8.9447,1.7304,0
0.47404,0.23594,0.19327,8.985,1.6457,0
0.27004,0.68292,0.10144,8.9135,0.97744,0
0.5953,0.72955,-0.0066424,8.913,1.1019,0
0.35582,0.71276,0.09636,8.8917,0.99738,0
0.4015,0.73742,0.056115,8.899,1.018,0
0.4673,0.75253,0.012652,8.9089,1.0436,0
0.53224,0.74108,0.026784,8.8945,1.0716,0
0.23838,0.6403,0.15266,8.9037,0.95399,0
0.14808,0.55733,0.17487,8.9282,0.93381,0
0.074928,0.4299,0.20483,8.9502,0.91577,0
0.02973,0.2845,0.23645,8.9682,0.89689,0
0.0086394,0.15515,0.26943,8.9821,0.87507,0
-0.0020837,-0.021214,0.18827,7.8135,1.6169,0
-0.0005078,-0.013483,0.18729,7.7822,1.5693,0
0.27523,0.15246,0.2152,8.8751,1.7285,0
0.20731,0.13402,0.21799,8.8033,1.737,0
-0.0054588,-0.027399,0.18877,7.8544,1.6494,0
-0.040031,-0.013525,0.19305,8.1386,1.8198,0
-0.012752,-0.030162,0.18938,7.9175,1.6928,0
-0.031308,-0.015944,0.19172,8.0556,1.8239,0
-0.022232,-0.025469,0.19047,7.9822,1.7495,0
0.15578,0.11917,0.21644,8.7295,1.731,0
-0.047105,-0.0033437,0.19749,8.2857,1.8244,0
-0.046194,-0.010618,0.19443,8.2134,1.8002,0
-0.034665,0.012723,0.20443,8.4316,1.8297,0
-0.043075,0.0042061,0.20012,8.3606,1.8154,0
0.096921,0.095234,0.21397,8.6507,1.7372,0
-0.01465,0.027081,0.20818,8.5036,1.8108,0
0.039565,0.063163,0.21091,8.5748,1.759,0
0.62393,0.70565,0.022483,8.8983,1.1323,0
0.6593,0.68341,0.01948,8.9085,1.1611,0
0.69853,0.65241,0.011636,8.9304,1.1915,0
0.76862,0.54929,0.0011513,9.0091,1.2639,0
0.7877,0.4862,0.040017,9.0384,1.3376,0
0.73086,0.60272,0.025637,8.9521,1.2426,0
0.69195,0.62543,0.051726,8.9085,1.2287,0
0.62191,0.33188,0.15842,9.0108,1.5403,0
0.73232,0.41838,0.10932,9.0294,1.4402,0
0.40659,0.24418,0.20184,8.8943,1.6309,0
0.52039,0.31182,0.18274,8.9323,1.5641,0
0.32204,0.67998,0.13865,8.8812,0.97608,0
0.58466,0.71293,0.050362,8.876,1.1102,0
0.42019,0.71956,0.093264,8.8749,1.0193,0
0.38951,0.6958,0.1289,8.8624,0.99916,0
0.47412,0.73249,0.069009,8.8773,1.0446,0
0.53068,0.71512,0.079274,8.8576,1.077,0
0.3063,0.64481,0.17849,8.8652,0.95478,0
0.21806,0.59624,0.19648,8.8931,0.92848,0
0.12975,0.50661,0.22087,8.9219,0.90541,0
0.067951,0.39171,0.24763,8.9444,0.88488,0
0.027919,0.25941,0.27513,8.9641,0.86328,0
0.0083191,0.13998,0.30215,8.98,0.83871,0
-0.0015984,-0.024593,0.18638,7.8128,1.5472,0
-0.00035401,-0.014798,0.18512,7.7812,1.5006,0
-0.0043789,-0.0331,0.18717,7.8556,1.5798,0
-0.0010438,-0.026656,0.18406,7.8112,1.4746,0
-0.00024109,-0.015353,0.18254,7.7798,1.4314,0
0.31455,0.21729,0.20932,8.8068,1.6396,0
-0.010349,-0.037362,0.18801,7.9161,1.6201,0
-0.036302,-0.022163,0.19173,8.128,1.7302,0
-0.019341,-0.03471,0.18902,7.9877,1.669,0
-0.028923,-0.027178,0.19063,8.0474,1.7228,0
0.2044,0.17085,0.21111,8.697,1.6537,0
-0.034711,0.0027848,0.1963,8.2989,1.7429,0
-0.02786,-0.0054896,0.19264,8.2329,1.6893,0
-0.012161,0.02912,0.20312,8.4387,1.7573,0
-0.015879,0.022136,0.1985,8.3731,1.7243,0
0.11588,0.12052,0.20858,8.6008,1.6728,0
0.038935,0.068075,0.20538,8.5108,1.7098,0
0.6224,0.68413,0.059436,8.8702,1.1524,0
0.66142,0.6542,0.059336,8.8845,1.1957,0
0.73038,0.54797,0.068125,8.9538,1.3112,0
0.71097,0.48055,0.10474,8.9651,1.3872,0
0.68428,0.57914,0.087565,8.8956,1.284,0
0.6622,0.61084,0.087578,8.8698,1.2451,0
0.60947,0.4082,0.15543,8.9213,1.4675,0
0.46359,0.31655,0.19078,8.8581,1.5495,0
0.3692,0.67101,0.15927,8.8503,0.98137,0
0.35308,0.63979,0.19061,8.8348,0.96013,0
0.57706,0.68697,0.091775,8.8375,1.1206,0
0.44697,0.69923,0.12346,8.8444,1.0247,0
0.42648,0.67914,0.15039,8.8305,1.0066,0
0.48946,0.70223,0.11257,8.8397,1.0506,0
0.51946,0.6854,0.12067,8.8173,1.0744,0
-0.0012128,-0.0011511,0.37953,8.9319,0.064117,0
-0.00016817,-0.00017665,0.37952,8.9692,0.03079,0
-0.00046019,-0.0012783,0.37953,8.9687,0.095153,0
-0.0012557,-0.00040456,0.3795,8.9056,0.031201,0
0.28485,0.604,0.21384,8.8531,0.92824,0
0.19994,0.54915,0.23486,8.8837,0.89984,0
0.12655,0.4692,0.25787,8.911,0.87565,0
0.061569,0.34917,0.28293,8.9395,0.85081,0
0.025751,0.2304,0.30675,8.9604,0.82526,0
0.0078867,0.12491,0.32958,8.9776,0.79732,0
-0.0032304,-0.038121,0.18506,7.8619,1.508,0
-0.0066607,-0.04279,0.18607,7.9146,1.5389,0
-0.00063525,-0.027329,0.18128,7.8085,1.4016,0
-0.00017984,-0.01531,0.17964,7.7779,1.3642,0
-0.001673,-0.039315,0.1826,7.8579,1.4334,0
-0.00033045,-0.027091,0.17795,7.806,1.3297,0
-0.00011849,-0.014797,0.17643,7.7759,1.3034,0
-2.5851e-05,-0.025513,0.17458,7.8017,1.271,0
-7.9178e-05,-0.013969,0.17297,7.7737,1.2498,0
0.00012719,-0.023296,0.171,7.797,1.2212,0
-5.8646e-05,-0.012964,0.16914,7.7716,1.2027,0
0.0004571,-0.020584,0.16696,7.7922,1.1774,0
4.8748e-05,-0.011784,0.16477,7.7695,1.1613,0
0.00076649,-0.016585,0.16192,7.7848,1.1367,0
0.00011555,-0.010228,0.15943,7.7674,1.1249,0
0.0013768,-0.012828,0.15637,7.7807,1.1027,0
